short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
R. Gutiérrez,23,181,76,Mexico,Monarcas Morelia,55,65,Right,Medium/Medium,,SUB,2018-07-01,2022,,,,,,,,,
J. Hiratsuka,20,180,77,Japan,Shimizu S-Pulse,55,65,Left,Medium/Low,,RES,2018-02-01,2022,,,68,57,42,53,18,52,
M. Nakajima,20,170,66,Japan,Cerezo Osaka,55,65,Right,Medium/Low,,RES,2018-01-01,2022,,,64,50,45,63,23,52,
F. Cantillo,21,177,68,Colombia,Unión Magdalena,55,65,Right,Medium/Medium,,SUB,2018-06-01,2022,,,69,47,54,60,53,48,
M. Dignam,20,181,79,Republic of Ireland,UCD AFC,55,65,Left,Medium/Medium,,LB,2017-02-01,2019,,,62,27,46,54,51,58,
A. Bustamante,22,170,62,United States,DC United,55,65,Right,High/Medium,,RES,2019-01-22,2021,,,69,54,52,59,40,51,
C. Mesías,21,179,72,Chile,CD Cobresal,55,65,Right,Medium/Medium,,SUB,2017-01-01,2022,,,68,42,52,56,32,54,
B. Nieto,21,176,70,Chile,CD Antofagasta,55,65,Right,Medium/Medium,,SUB,2019-01-01,2022,,,77,44,51,56,51,42,
M. Leasă,20,180,71,Romania,FC Voluntari,55,65,Right,Medium/Medium,,RES,2016-12-01,2020,,,62,26,43,49,54,59,
J. Ekeland,21,178,74,Norway,Viking FK,55,65,Right,Medium/Medium,,SUB,2019-04-01,2019,,,68,54,40,56,20,54,
T. Heggem,20,185,73,Norway,Ranheim Fotball,55,65,Right,Medium/Medium,,SUB,,2019,,,63,27,28,35,55,59,
F. Flick,19,190,79,Germany,SV Waldhof Mannheim,55,65,Right,Medium/Medium,,SUB,2018-08-03,2020,,,52,24,30,39,54,59,
S. Beccari,20,189,80,Italy,WSG Tirol,55,65,Right,Medium/Medium,,RES,2017-07-01,2021,,,,,,,,,
P. Therkildsen,21,190,80,Denmark,AC Horsens,55,65,Right,Medium/Medium,,SUB,2019-01-24,2023,,,66,36,45,47,50,65,
S. Abdul Samed,19,180,61,Ghana,Clermont Foot 63,55,65,Right,Medium/High,,RES,2019-07-19,2023,,,62,44,48,53,52,58,
P. Sturm,20,176,68,Austria,Chemnitzer FC,55,65,Right,High/Medium,,RES,2019-07-30,2021,,,64,49,50,59,42,52,
S. Ling,22,175,64,England,Leyton Orient,55,64,Right,High/Medium,,RWB,2018-02-07,2020,,,66,24,43,52,52,57,Inflexible
E. Gumbs,21,178,76,England,Tranmere Rovers,55,64,Right,Medium/High,,RES,2014-08-12,2020,,,66,33,36,44,53,62,Power Free-Kick
G. Montes,23,176,70,Colombia,Atlético Huila,55,64,Right,Medium/Medium,,RB,2019-07-08,2024,,,68,41,47,52,54,57,
K. Funaki,21,177,65,Japan,Cerezo Osaka,55,64,Left,Medium/Medium,,RES,2017-01-01,2022,,,67,30,50,53,47,64,
H. Ishikawa,20,172,64,Japan,Sagan Tosu,55,64,Right,Medium/Medium,,RES,2017-01-01,2022,,,62,52,53,61,35,56,
F. Ufuk,21,175,70,Germany,SC Paderborn 07,55,64,Right,Medium/Medium,,RES,2015-07-01,2020,,,63,33,47,52,54,52,
J. Ordóñez,22,180,70,Colombia,Jaguares de Córdoba,55,64,Right,Low/Medium,,SUB,2019-07-08,2020,,,62,25,27,33,57,59,
T. Uchida,21,177,69,Japan,FC Tokyo,55,64,Right,Medium/Medium,,RES,2017-01-01,2022,,,63,48,47,56,47,59,
F. Darisi,22,180,79,Saudi Arabia,Al Raed,55,64,Right,Medium/Medium,,SUB,,2020,,,65,30,39,52,54,64,
C. Díaz,21,182,73,Colombia,Rionegro Águilas,55,64,Left,Medium/Medium,,RES,,2020,,,68,42,47,47,51,66,
J. Walker,18,182,79,Republic of Ireland,St. Patrick's Athletic,55,64,Right,High/Medium,,SUB,2017-03-01,2020,,,61,52,40,52,19,59,
J. Martinez,20,173,62,Chile,CD Universidad de Concepción,55,64,Right,Medium/Medium,,RES,2017-01-01,2023,,,66,53,53,56,23,55,
S. Sprečaković,20,172,60,Germany,SV Waldhof Mannheim,55,64,Right,Medium/Medium,,SUB,2017-07-01,2020,,,69,46,48,63,25,38,
C. Navarrete,20,176,72,Chile,CD Universidad de Concepción,55,64,Right,Medium/Medium,,SUB,2015-01-01,2023,,,59,24,52,48,53,62,
F. Blake-Tracy,23,183,64,England,Peterborough United,55,64,Left,Medium/High,,SUB,2019-07-01,2021,,,59,24,39,53,53,55,
M. Ekpiteta,23,193,84,England,Leyton Orient,55,64,Right,Medium/Medium,,RCB,2018-01-31,2020,,,59,27,31,32,53,64,
W. Muzyk,20,196,83,Poland,Legia Warszawa,55,64,Right,Medium/Medium,,SUB,2019-07-01,2023,,,,,,,,,
E. Florescu,22,188,69,Romania,FC Botoşani,55,64,Left,Medium/Medium,,SUB,2018-08-22,2021,,,61,36,57,57,35,42,
I. Pop,21,190,80,Romania,FC Hermannstadt,55,64,Right,Medium/Medium,,SUB,2019-07-01,2020,,,,,,,,,
H. Vergara,20,182,77,Colombia,Deportivo Pasto,55,64,Right,Medium/Medium,,RES,2019-07-08,2023,,,64,53,37,49,18,60,
K. Perez,21,170,65,Colombia,Deportes Tolima,55,64,Right,Low/Low,,RES,2019-08-09,2020,,,68,45,50,58,32,45,
K. Al Blooshi,20,169,70,United Arab Emirates,Al Ain FC,55,64,Right,Medium/Low,,RES,2019-07-01,2023,,,63,42,53,58,31,45,
G. Ricci,22,180,75,Italy,Parma,55,63,Right,Medium/Medium,,RES,2015-08-23,2022,,,63,29,37,49,55,59,
N. Ferguson,23,189,80,England,Crawley Town,55,63,Right,High/High,,RCM,2019-07-01,2022,,,63,41,49,55,46,62,
C. Ventola,22,170,68,Italy,Pescara,55,63,Right,Medium/Medium,,SUB,2015-07-01,2022,,,63,32,49,54,47,52,
M. Leverbe,22,188,76,France,Chievo Verona,55,63,Right,Medium/Medium,,RES,2019-07-05,2022,,,51,30,30,39,55,60,
T. Hama,21,182,73,Japan,Hokkaido Consadole Sapporo,55,63,Right,Low/Medium,,RES,2016-07-01,2022,,,53,23,29,37,56,64,
J. Silgado,20,171,68,Colombia,Jaguares de Córdoba,55,63,Left,High/Medium,,LB,2018-07-22,2022,,,68,40,51,58,48,47,
M. Al Thani,22,174,64,Saudi Arabia,Al Faisaly,55,63,Right,Medium/Medium,,SUB,2017-09-12,2021,,,71,47,49,56,23,44,
J. Okano,21,185,78,Japan,Oita Trinita,55,63,Right,Medium/Medium,,RES,2016-06-01,2022,,,68,31,36,36,51,62,
Wang Tong,22,184,78,China PR,Shenzhen FC,55,63,Right,Low/Medium,,RES,2018-02-27,2022,,,60,36,46,48,53,59,
M. Kouyaté,21,180,75,Mali,AFC Eskilstuna,55,63,Right,Medium/Medium,,RES,2018-03-31,2019,,,65,37,53,58,41,59,
L. Dykes,23,188,75,Australia,Livingston FC,55,63,Right,Medium/Medium,,ST,2019-01-30,2022,,,55,54,36,50,27,60,
Lee Ho In,23,185,75,Korea Republic,Gangwon FC,55,63,Right,Medium/Medium,,SUB,2018-01-01,2022,,,65,20,35,30,52,64,
C. Carter,22,185,75,England,Stevenage,55,63,Right,Medium/Medium,,SUB,2019-07-02,2021,,,68,46,52,54,34,50,
G. Chirullo,20,182,80,Italy,Castellammare di Stabia,55,63,Right,Medium/Low,,RES,2018-01-25,2023,,,55,56,40,48,19,56,
N. Dorofeev,21,180,70,Russia,Lokomotiv Moscow,55,63,Right,Medium/Medium,,RES,2019-07-01,2021,,,59,41,57,56,56,53,
F. Gonzales,20,180,68,France,Oldham Athletic,55,63,Right,Medium/Medium,,RES,2019-07-30,2020,,,71,48,51,57,34,52,
M. Al Dawsari,19,174,67,Saudi Arabia,Al Hilal,55,63,Right,Medium/Medium,,RES,2019-08-03,2020,,,68,32,41,53,50,54,
S. Byrne,24,184,75,Republic of Ireland,UCD AFC,55,62,Right,Medium/Medium,,SUB,2019-07-25,2019,,,63,55,37,54,21,56,
F. Torres,24,179,70,Colombia,Atlético Bucaramanga,55,62,Right,Medium/Medium,,RES,2019-08-05,2024,,,65,46,49,57,45,61,
Y. Rojas,23,174,65,Chile,CD Palestino,55,62,Right,High/Medium,,RES,2016-11-04,2019,,,60,52,42,57,24,55,
O. Skrzecz,22,177,69,Poland,Korona Kielce,55,62,Right,High/Medium,,SUB,2018-07-14,2020,,,61,44,60,55,36,41,
Zhong Yihao,23,178,75,China PR,Guangzhou Evergrande Taobao FC,55,62,Right,Medium/Medium,,SUB,2018-02-24,2019,,,74,53,46,57,38,66,
S. Avanzini,24,185,80,Italy,AC Horsens,55,62,Right,Medium/Medium,,SUB,2018-07-21,2022,,,69,35,44,52,52,60,
R. Al Najjar,24,189,82,Saudi Arabia,Al Ittihad,55,62,Right,Medium/Medium,,RES,2018-07-01,2022,,,,,,,,,
O. Al Zayni,23,177,70,Saudi Arabia,Al Ahli,55,62,Right,Medium/Medium,,RES,2018-07-17,2022,,,66,41,53,54,53,54,
M. Coyle,22,178,68,Republic of Ireland,Finn Harps,55,62,Right,Medium/Medium,,LCM,2018-01-01,2019,,,68,38,53,57,45,60,
S. Raben,22,183,75,United States,Colorado Rapids,55,62,Right,Medium/High,,RES,2019-01-11,2019,,,52,24,32,36,54,59,
S. Watanabe,22,168,60,Japan,Nagoya Grampus,55,62,Left,Medium/Medium,,RES,2019-02-01,2022,,,63,38,52,58,40,50,
L. Stojsavljević,21,191,80,Serbia,Newport County,55,62,Right,Low/High,,SUB,2019-06-14,2021,,,58,21,40,39,53,61,
R. Criscuolo,22,177,72,Italy,Sampdoria,55,61,Right,High/Medium,,RES,2016-07-30,2020,,,58,45,56,58,32,54,
W. Longbottom,20,175,62,England,Doncaster Rovers,55,61,Left,Medium/Medium,,RES,2016-03-31,2020,,,61,51,44,59,43,54,
E. Iandolo,21,186,71,England,Swindon Town,55,61,Right,Medium/Medium,,RES,2015-08-04,2020,,,74,48,51,60,49,51,
F. Musonda,21,183,71,England,Luton Town,55,61,Right,Medium/Medium,,RES,2015-11-01,2020,,,61,23,31,29,54,63,
E. Selen,24,183,75,Turkey,Yeni Malatyaspor,55,61,Right,Medium/Medium,,RES,2015-07-15,2022,,,,,,,,,
L. Gray,23,188,78,Wales,Carlisle United,55,61,Right,Medium/Medium,,SUB,2018-10-05,2020,,,,,,,,,
K. Yoshimaru,23,184,70,Japan,Vissel Kobe,55,61,Right,Medium/Medium,,RES,2014-01-01,2022,,,,,,,,,
Gao Tianyi,21,185,79,China PR,Shenzhen FC,55,61,Right,Medium/High,,RES,,2019,,,63,41,56,55,57,63,
R. Yañez,24,181,80,Chile,CD O'Higgins,55,61,Right,Medium/Medium,,SUB,2018-01-01,2022,,,,,,,,,
R. Fleurier,22,176,70,France,FC Chambly Oise,55,61,Left,Medium/Medium,,RES,2018-07-01,2020,,,67,28,43,50,53,51,
M. Ekpiteta,23,181,83,England,Newport County,55,61,Right,Medium/High,,SUB,2019-07-01,2021,,,69,28,41,47,52,64,
J. Mena Vacca,22,182,75,Colombia,Atlético Huila,55,61,Right,Medium/Medium,,SUB,2019-07-14,2023,,,62,24,31,36,55,62,
Jin Qiang,26,180,72,China PR,Shenzhen FC,55,60,Right,Medium/Medium,,SUB,2019-02-14,2022,,,63,27,54,47,51,66,
Li Haowen,25,183,83,China PR,Shanghai SIPG FC,55,60,Right,Medium/Medium,,RES,2019-03-25,2024,,,52,56,39,51,23,51,
Yang Shiyuan,25,173,70,China PR,Shanghai SIPG FC,55,60,Right,Medium/Medium,,SUB,2019-03-25,2024,,,63,31,36,52,55,54,
P. Sánchez,21,180,67,Chile,CD Everton de Viña del Mar,55,60,Right,Medium/Medium,,SUB,2015-07-01,2022,,,64,49,49,56,29,40,
S. Awaka,24,188,77,Japan,Hokkaido Consadole Sapporo,55,60,Right,Medium/Medium,,SUB,2013-01-01,2022,,,,,,,,,
M. Nishimoto,23,177,63,Japan,Cerezo Osaka,55,60,Right,Medium/Medium,,RES,2016-01-01,2022,,,76,59,52,53,34,54,
Cho Jae Wan,23,174,70,Korea Republic,Gangwon FC,55,60,Right,Medium/Medium,,LW,2019-01-05,2020,,,75,54,44,54,16,58,
D. Björkman,26,184,77,Sweden,Örebro SK,55,60,Left,Medium/Medium,,RES,2019-01-12,2020,,,63,24,36,35,56,61,
J. Longridge,24,183,68,Scotland,Bradford City,55,60,Left,Medium/Medium,,SUB,2019-06-13,2021,,,61,29,41,51,54,55,
M. Rosenørn,26,184,81,Denmark,Esbjerg fB,55,59,Right,Medium/Medium,,SUB,2019-06-20,2020,,,,,,,,,
Lee Joon Hee,25,192,89,Korea Republic,Daegu FC,55,59,Right,Medium/Medium,,SUB,2019-01-06,2024,,,,,,,,,Flair
K. Tajiri,26,182,76,Japan,Gamba Osaka,55,59,Right,Medium/Medium,,RES,2012-01-01,2020,,,,,,,,,
C. Haas,26,190,83,Austria,FC Admira Wacker Mödling,55,58,Right,Medium/Medium,,SUB,2019-07-01,2022,,,,,,,,,
A. Bogusz,26,181,74,Poland,LKS Lodz,55,58,Right,High/Medium,,SUB,2018-07-01,2020,,,72,28,39,52,52,59,
M. McGinley,29,185,86,Republic of Ireland,Finn Harps,55,57,Right,Medium/Medium,,GK,2019-04-25,2019,,,,,,,,,
Ma Sang Hoon,27,183,78,Korea Republic,Sangju Sangmu FC,55,57,Right,Medium/Medium,,RES,2018-01-14,2023,,,49,27,29,32,56,63,
G. Kawanami,28,192,84,Japan,Vegalta Sendai,55,57,Right,Medium/Medium,,SUB,2017-12-26,2020,,,,,,,,,
Zhao Yingjie,26,183,77,China PR,Tianjin TEDA FC,55,56,Right,Medium/Medium,,RES,2016-01-01,2022,,,65,52,51,53,52,60,
B. Mendoza,26,180,78,Argentina,FC Botoşani,55,56,Right,Medium/Medium,,RES,2019-08-08,2020,,,72,52,48,60,26,50,
N. Hunt,35,185,86,England,Crewe Alexandra,55,55,Right,Low/Medium,,SUB,2018-07-31,2020,,,35,44,50,51,57,74,Inflexible
K. Ogi,36,185,76,Japan,Vissel Kobe,55,55,Right,Medium/Medium,,RES,2017-12-25,2022,,,,,,,,,
Liu Le,30,184,78,China PR,Chongqing Dangdai Lifan FC SWM Team,55,55,Left,High/Medium,,SUB,2018-01-02,2022,,,72,27,35,46,55,64,
Guo Wei,29,190,77,China PR,Shenzhen FC,55,55,Right,Medium/Medium,,GK,2019-02-23,2022,,,,,,,,,
Mu Pengfei,30,192,89,China PR,Beijing Renhe FC,55,55,Right,Medium/Medium,,SUB,2019-02-27,2019,,,,,,,,,
G. Fuentes,17,168,64,United States,San Jose Earthquakes,54,77,Right,Medium/Medium,,SUB,2018-01-28,2020,,,66,43,50,65,40,54,
H. Geelmuyden,17,175,68,Norway,Stabæk Fotball,54,77,Left,Medium/Medium,,RES,2017-07-03,2019,,,72,53,40,55,18,43,
J. Baccay,18,178,60,Norway,Lillestrøm SK,54,77,Left,High/Medium,,SUB,2019-01-01,2021,,,75,43,50,56,48,51,
Qi Yuxi,18,187,75,China PR,Jiangsu Suning FC,54,76,Right,Medium/Medium,,SUB,2019-03-25,2022,,,,,,,,,
Iván Martínez,17,180,70,Spain,CA Osasuna,54,76,Right,Medium/Medium,,RES,2018-09-01,2021,,,,,,,,,
R. Ndiaye,17,179,70,France,FC Sochaux-Montbéliard,54,76,Right,Medium/Medium,,SUB,2019-03-20,2022,,,69,42,51,55,48,57,
K. Ackermann,18,179,83,Sweden,BK Häcken,54,75,Right,Medium/Medium,,SUB,2017-06-12,2021,,,64,41,51,58,49,64,
J. Quiñones Saya,19,170,67,Colombia,América de Cali,54,75,Right,High/Medium,,RES,2018-04-20,2022,,,61,48,49,59,32,47,
G. Botos,18,172,69,Greece,AEK Athens,54,75,Right,Medium/Medium,,RES,2018-07-01,2021,,,68,40,57,52,38,44,
R. Mimnaugh,17,177,64,Scotland,Hamilton Academical FC,54,75,Right,Medium/Medium,,SUB,2018-07-01,2022,,,62,40,52,53,44,55,
R. Sandberg,18,185,70,Norway,Rosenborg BK,54,75,Right,Medium/Medium,,RES,2019-04-01,2023,,,,,,,,,
J. Cumming,19,186,78,England,Chelsea,54,74,Right,Medium/Medium,,RES,2017-01-16,2021,,,,,,,,,
L. Brook,18,178,69,Australia,Adelaide United,54,74,Left,Medium/Medium,,SUB,2017-06-01,2021,,,72,42,50,59,29,47,
B. Crellin,19,185,60,England,Fleetwood Town,54,74,Right,Medium/Medium,,SUB,2016-12-12,2020,,,,,,,,,
M. Casey,19,203,80,England,Portsmouth,54,74,Right,Medium/Medium,,RES,2017-12-09,2020,,,55,25,35,36,53,61,
A. Binous,18,192,84,Switzerland,FC Luzern,54,74,Right,Medium/Low,,SUB,2019-07-01,2022,,,56,49,39,51,23,59,
J. Echave,18,180,72,Chile,Unión Española,54,74,Right,Medium/Medium,,SUB,2018-07-01,2022,,,,,,,,,
L. Sanchez,18,175,76,Colombia,América de Cali,54,74,Right,Medium/Medium,,SUB,2018-11-10,2022,,,66,40,56,51,33,63,
A. Ocampo-Chavez,17,178,64,United States,Seattle Sounders FC,54,74,Right,Medium/Medium,,SUB,2019-05-01,2021,,,63,52,41,55,26,47,
R. Collins,18,192,81,England,AFC Wimbledon,54,74,Right,Medium/Medium,,SUB,2019-04-26,2020,,,62,27,37,36,51,66,
J. Caicedo,17,185,75,Colombia,Independiente Santa Fe,54,74,Right,Medium/High,,CM,2019-07-14,2023,,,61,32,45,50,51,63,
N. Zdichynec,17,184,74,Austria,FC Admira Wacker Mödling,54,74,Left,High/Medium,,RES,2019-07-30,2023,,,67,48,48,57,26,47,
M. Alexander,17,185,67,England,Bolton Wanderers,54,74,Right,Medium/Medium,,GK,2019-07-01,2020,,,,,,,,,
D. Cattin,18,180,74,Switzerland,Neuchâtel Xamax,54,74,Right,Medium/Medium,,RES,2017-07-01,2020,,,60,53,40,51,21,50,
B. Kimpioka,19,182,67,Sweden,Sunderland,54,73,Right,Medium/Medium,,RES,2017-08-03,2020,,,75,54,48,55,33,39,
J. Hamilton,19,184,80,Scotland,Livingston FC,54,73,Right,Medium/Medium,,SUB,2017-06-30,2020,,,69,52,39,50,19,58,
I. Acero,19,179,68,Mexico,Deportivo Toluca,54,73,Left,Medium/Medium,,RES,2018-07-01,2022,,,58,45,54,55,52,50,
�. Fara,18,181,77,Romania,Dinamo Bucureşti,54,73,Left,Medium/Medium,,SUB,2019-03-26,2020,,,,,,,,,
K. Yao,18,187,79,Canada,Montreal Impact,54,73,Right,Medium/Medium,,RES,2019-05-31,2021,,,58,23,38,30,52,60,
J. Eccles,19,181,66,England,Coventry City,54,73,Right,Medium/Medium,,RES,2018-07-20,2021,,,70,41,49,53,53,56,
C. Duke,18,170,61,United States,Sporting Kansas City,54,73,Right,Medium/Medium,,RES,2019-07-18,2022,,,69,46,50,53,47,48,
D. Youfeigane,19,188,84,France,En Avant de Guingamp,54,73,Right,Medium/Medium,,SUB,2018-07-01,2023,,,,,,,,,
S. Wearne,18,174,71,England,Middlesbrough,54,73,Right,High/Medium,,RES,2019-07-01,2021,,,62,40,55,54,36,48,
K. Ferguson,19,187,80,England,Sheffield United,54,72,Right,Medium/Medium,,RES,2018-07-01,2020,,,63,26,29,34,55,58,
M. Frendrup,18,178,68,Denmark,Brøndby IF,54,72,Right,Medium/Medium,,SUB,2018-02-11,2021,,,65,38,51,53,44,44,
M. Howard,19,178,72,England,Morecambe,54,72,Right,Medium/Medium,,RES,2019-07-01,2020,,,66,54,40,48,17,48,
J. Buckley,19,173,63,England,Blackburn Rovers,54,72,Right,Medium/Medium,,RES,2018-01-26,2020,,,69,43,52,58,50,52,
L. Schöfl,18,177,72,Austria,Wolfsberger AC,54,72,Right,Medium/Medium,,RES,2018-07-01,2022,,,59,39,52,54,50,59,
J. Rothmann,19,180,75,Denmark,FC Nordsjælland,54,72,Right,Medium/Medium,,SUB,2018-11-25,2021,,,75,48,38,54,21,52,
D. Morys,18,174,65,Poland,Wisła Kraków,54,72,Right,Medium/Medium,,RES,2019-02-11,2020,,,62,39,52,49,51,51,
A. Daghim,18,180,71,Denmark,FC København,54,72,Right,High/Medium,,SUB,2019-02-10,2021,,,68,43,48,59,22,48,Selfish
J. Nyland Ørsahl,17,183,75,Norway,Molde FK,54,72,Left,Medium/High,,SUB,2019-01-01,2023,,,70,28,44,52,50,55,
J. Craenmehr,17,192,76,Netherlands,VVV-Venlo,54,72,Right,Medium/Medium,,RES,2019-07-01,2023,,,,,,,,,
E. Ross,17,174,70,Scotland,Aberdeen,54,72,Right,Medium/Medium,,RES,2019-07-01,2021,,,64,45,52,57,46,44,
S. Hausner,19,188,78,Denmark,Aarhus GF,54,71,Left,Medium/Medium,,SUB,2017-02-27,2023,,,52,26,37,36,52,63,
A. Damlu,19,180,71,Turkey,Yeni Malatyaspor,54,71,Right,Medium/Medium,,SUB,2016-07-25,2022,,,,,,,,,
A. Bruus,20,184,69,Denmark,Brøndby IF,54,71,Right,High/Medium,,RES,2016-07-01,2021,,,65,52,42,58,21,54,
L. Klassen,19,173,69,Russia,TSV 1860 München,54,71,Left,High/Medium,,RES,2018-07-01,2020,,,70,33,45,55,47,50,
D. Ager,19,170,70,England,Colchester United,54,71,Left,Medium/Medium,,RES,2018-07-01,2020,,,77,47,49,56,41,47,
M. Schantl,18,176,67,Austria,TSV Hartberg,54,71,Right,Medium/Medium,,RES,2018-06-01,2021,,,55,44,51,55,48,52,
L. Pellegrini,19,186,77,France,AC Ajaccio,54,71,Left,Medium/Medium,,SUB,2018-07-01,2020,,,64,31,42,53,54,64,
A. Hendriksen,19,194,77,Denmark,Brøndby IF,54,71,Right,Medium/Medium,,SUB,2019-01-01,2021,,,59,27,32,36,51,61,
M. Hundley,19,178,73,United States,Colorado Rapids,54,71,Right,High/Medium,,RES,2019-01-11,2022,,,66,51,50,55,23,51,
D. Ochoa,18,188,80,United States,Real Salt Lake,54,71,Right,Medium/Medium,,RES,2018-11-28,2019,,,,,,,,,
M. Praszelik,18,184,74,Poland,Legia Warszawa,54,71,Right,High/Low,,SUB,2018-02-06,2020,,,63,42,51,61,31,52,
Z. Duncan,19,170,68,Australia,Aarhus GF,54,71,Right,Medium/Medium,,SUB,2019-06-17,2023,,,71,44,50,59,29,42,
F. Bilbija,19,189,76,Germany,FC Ingolstadt 04,54,71,Right,Medium/Medium,,SUB,2019-07-01,2020,,,54,46,50,56,25,40,
J. Kamiński,17,179,68,Poland,Lech Poznań,54,71,Right,High/Medium,,RES,2019-07-01,2021,,,78,47,44,57,28,40,
J. Sparkes,18,175,63,England,Exeter City,54,70,Left,Medium/Medium,,RES,2017-07-01,2020,,,74,44,47,56,38,51,
C. Metcalfe,19,178,70,Australia,Melbourne City FC,54,70,Right,Medium/High,,SUB,2018-01-01,2022,,,64,46,45,59,50,64,
C. Merrie,20,176,65,England,Wigan Athletic,54,70,Left,Medium/Medium,,RES,2017-07-01,2020,,,63,50,51,54,44,52,
T. Durso,20,185,80,Argentina,Gimnasia y Esgrima La Plata,54,70,Right,Medium/Medium,,SUB,2017-06-30,2021,,,,,,,,,
M. Najjar,19,182,72,Australia,Melbourne City FC,54,70,Left,High/Low,,SUB,2018-02-13,2020,,,68,51,39,53,21,53,Selfish
A. Doğan,17,180,70,Turkey,Kayserispor,54,70,Left,Low/Medium,,RES,2017-07-09,2020,,,52,28,35,38,57,52,
H. Kite,19,178,64,England,Exeter City,54,70,Right,Medium/Medium,,RES,2018-02-07,2020,,,70,46,52,56,35,56,Argues with Officials
B. Córdoba,19,191,78,Colombia,Atlético Nacional,54,70,Right,Medium/Medium,,SUB,2018-07-25,2022,,,60,26,28,39,55,57,
P. Christiansen,19,175,72,Denmark,SønderjyskE,54,70,Right,Medium/Medium,,SUB,2018-08-12,2022,,,67,51,35,55,17,56,
J. Greatorex,19,185,80,England,Barnsley,54,70,Right,Medium/Medium,,RES,2018-03-17,2020,,,,,,,,,
J. King,18,178,68,Australia,Sydney FC,54,70,Left,Medium/Medium,,SUB,2018-09-11,2020,,,70,29,45,52,53,53,
T. Nakamura,18,177,65,Japan,FC Tokyo,54,70,Right,Medium/Medium,,RES,2019-01-01,2022,,,63,30,46,52,46,56,
S. Paulet,19,172,68,France,Swansea City,54,70,Right,Medium/Medium,,RES,2018-07-01,2020,,,63,39,53,53,40,53,
M. Luyambula,20,190,78,DR Congo,Crawley Town,54,70,Right,Medium/Medium,,SUB,,2020,,,,,,,,,
J. Pedersen,18,180,64,Denmark,Aalborg BK,54,70,Right,High/Medium,,SUB,2019-05-12,2023,,,69,41,55,53,40,55,
E. Voufack,17,182,75,Germany,FC Carl Zeiss Jena,54,70,Right,Medium/Medium,,SUB,2019-07-01,2020,,,74,45,49,58,47,57,
M. Williams,18,186,69,England,Accrington Stanley,54,70,Right,Low/Medium,,RES,2019-07-19,2020,,,64,27,35,35,52,64,
R. German,20,183,79,England,Crawley Town,54,69,Right,Low/Low,,RES,2019-01-01,2022,,,64,54,40,47,30,66,
A. Lesiotis,19,170,65,Australia,Melbourne Victory,54,69,Right,Medium/High,,RCM,2019-01-03,2020,,,64,35,50,48,53,43,Injury Prone
M. Suárez,18,186,85,Chile,Universidad Católica,54,69,Right,Medium/Medium,,SUB,2018-01-01,2021,,,,,,,,,
T. Hamer,19,188,80,England,Oldham Athletic,54,69,Right,High/Medium,,RB,2018-04-24,2022,,,59,34,35,50,56,62,Inflexible
T. Stevenson,20,180,73,England,Charlton Athletic,54,69,Left,Medium/Medium,,RES,2018-05-14,2020,,,63,37,45,52,50,57,
J. Lackéll,17,175,75,Sweden,AFC Eskilstuna,54,69,Right,Medium/Medium,,RES,2019-02-02,2021,,,65,40,52,60,39,51,
T. Rausch,19,175,68,Germany,Bayern München II,54,69,Right,Medium/Medium,,SUB,2019-07-01,2020,,,70,28,38,57,49,53,
S. Tengstedt,19,187,76,Denmark,Aalborg BK,54,69,Left,Medium/Low,,SUB,2019-06-01,2020,,,76,48,46,55,21,56,
K. Struski,18,173,66,Poland,Jagiellonia Białystok,54,69,Right,Medium/Medium,,RES,2019-07-01,2023,,,63,40,52,58,25,43,
K. Stallone,18,175,65,Italy,Castellammare di Stabia,54,69,Right,Medium/Low,,RES,2018-07-01,2023,,,66,46,55,61,38,42,
F. Yonsian,18,181,74,Ivory Coast,Salford City,54,69,Left,Medium/Medium,,RES,2019-07-05,2020,,,70,52,38,53,22,66,
M. Judd,20,178,67,England,Leyton Orient,54,68,Right,Medium/Medium,,SUB,2015-09-01,2021,,,67,24,41,54,49,51,
M. Muheim,21,182,77,Switzerland,FC St. Gallen,54,68,Left,High/Medium,,LB,2018-01-31,2021,,,65,55,48,58,50,58,
O. Kjærgaard,20,184,76,Denmark,Tromsø IL,54,68,Right,Medium/Medium,,SUB,2018-02-22,2020,,,65,45,51,60,46,56,
M. Wright,21,170,76,England,Grimsby Town,54,68,Right,Medium/Medium,,SUB,2016-07-01,2020,,,81,51,41,56,31,49,
Y. Rafael,20,175,75,Sweden,Kalmar FF,54,68,Left,Medium/Medium,,SUB,2019-01-12,2021,,,76,44,50,57,45,53,
D. Moore,20,175,80,England,Bristol Rovers,54,68,Right,Medium/Medium,,SUB,2019-03-20,2020,,,76,51,42,58,17,53,
J. Waite,20,175,61,Wales,Cardiff City,54,68,Right,Medium/Medium,,RES,2017-02-22,2020,,,64,46,48,58,45,44,
R. Källman,20,200,100,Finland,HJK Helsinki,54,68,Right,Medium/Medium,,SUB,2017-07-31,2020,,,,,,,,,
Ma Junliang,21,181,64,China PR,Guangzhou R&F FC,54,68,Right,Medium/Medium,,SUB,2017-01-01,2022,,,81,45,52,56,51,54,
